CMDLINE C:\Users\Firefly\GPU_Project\Anaconda\envs\rltest\python.exe gpu_RL.py
MEM 1.539062 1623599045.4691
MEM 14.976562 1623599045.5831
MEM 23.222656 1623599045.6951
MEM 29.757812 1623599045.8071
MEM 37.156250 1623599045.9191
MEM 42.796875 1623599046.0305
MEM 54.464844 1623599046.1425
MEM 72.535156 1623599046.2545
MEM 86.343750 1623599046.3665
MEM 92.574219 1623599046.4785
MEM 96.902344 1623599046.5905
MEM 100.437500 1623599046.7006
MEM 100.457031 1623599046.8125
MEM 100.812500 1623599046.9246
MEM 105.953125 1623599047.0366
MEM 113.574219 1623599047.1486
MEM 128.316406 1623599047.2606
MEM 136.062500 1623599047.3706
MEM 139.906250 1623599047.4826
MEM 144.949219 1623599047.5946
MEM 153.843750 1623599047.7066
MEM 168.355469 1623599047.8186
MEM 171.285156 1623599047.9306
MEM 171.781250 1623599048.0426
MEM 172.636719 1623599048.1546
MEM 189.113281 1623599048.2666
MEM 199.218750 1623599048.3786
MEM 213.160156 1623599048.4906
MEM 222.871094 1623599048.6026
MEM 236.222656 1623599048.7146
MEM 245.144531 1623599048.8266
MEM 256.742188 1623599048.9386
MEM 268.574219 1623599049.0506
MEM 279.984375 1623599049.1626
MEM 293.601562 1623599049.2746
MEM 303.246094 1623599049.3846
MEM 315.226562 1623599049.4946
MEM 325.507812 1623599049.6066
MEM 334.835938 1623599049.7186
MEM 344.902344 1623599049.8306
MEM 353.554688 1623599049.9406
MEM 361.710938 1623599050.0526
MEM 371.164062 1623599050.1646
MEM 378.246094 1623599050.2766
MEM 386.925781 1623599050.3866
MEM 396.703125 1623599050.4986
MEM 405.941406 1623599050.6106
MEM 418.679688 1623599050.7226
MEM 430.640625 1623599050.8346
MEM 440.742188 1623599050.9466
MEM 451.183594 1623599051.0586
MEM 465.210938 1623599051.1706
MEM 477.230469 1623599051.2826
MEM 488.871094 1623599051.3936
MEM 499.203125 1623599051.5046
MEM 512.648438 1623599051.6166
MEM 522.136719 1623599051.7286
MEM 536.394531 1623599051.8406
MEM 546.355469 1623599051.9526
